id,SMILES
1,Cc1cc(COc2ccc(CN3CCn4c(-c5ccccc5)cnc4C3)cc2)oc1C1=NC(N(C)C)=NO1
2,CC(C)CC(NCc1cccn1-c1ccc(CC2=NC(N(C)C)=NO2)cc1)c1cccnc1
3,CN(C)C1=NOC(Cc2ccc(-n3cccc3CN[C@H](CO)c3ccccc3)cc2)=N1
4,CN(C)C(=O)Cc1cccc(C2=CCN(S(=O)(=O)c3cc(Cl)cc(Br)c3)CC2)c1F
5,CN(C)C(=O)Cc1cccc(C2=CCCN(C(=O)C3CCCN3c3ccc(C#N)cc3)C2)c1F
6,Cc1cc(Oc2cccc3oc4ccccc4c23)nc(N2CCc3onc(-c4ccc(F)cc4)c3C2)n1
7,Cc1cc(N2CCc3onc(-c4ccc(F)cc4)c3C2)nc(N2CCC(c3nccs3)CC2)n1
8,CC1=NN(Cc2cc(Cl)ccc2Cl)C2=C1CCCN2C(=O)CSCCOc1ccccc1
9,COc1ccc(CN2CC3C(C2)C3N(C)c2cc(N3CCCC(Cn4ccnc4C)C3)nc(C(F)(F)F)n2)cc1
10,COc1ccc(CN2CC3C(C2)C3N(C)c2cc(N3CCCC3CNC(N)=O)nc(C(F)(F)F)n2)cc1
11,CCC(C)C(C1=NC(N(C)Cc2cccnc2N2CCOCC2)=NO1)n1cccc1CNCc1cnccc1C
12,CCOCC1(CN(C)C2=NOC(CN3CCN(c4nc(-c5ccccc5)ns4)CC3)=N2)CCC1
13,CN1CCN(C2=NOC(c3[nH]cnc3-c3ccccc3)=N2)CC2CCCCC21
14,COc1ccc(-n2cccn2)c(CN(C)c2cc(C(=O)N3CCN(Cc4ccccc4Cl)CC3)ccc2F)c1
15,Cc1cccc(-c2nc(CNC(=O)c3cc(N(C)Cc4cc(F)ccc4-n4cccn4)ccc3F)cs2)c1
16,CC(C)CNC(=O)CN(C)Cc1ccc(-c2cccc(C(=O)NC3CCCCC3Oc3ccccc3)n2)cc1
17,COc1cc2c(cc1CNC1=NN=C(COc3ccccc3-c3ccccc3)N1C)CCC2
18,Cc1onc(-c2ccccc2)c1C1=NN=C(N(C)[C@@H]2CC[C@@H]2OCc2ccccc2)O1
19,CNC(=O)c1nnn(-c2ccc(CN3CCN(CC4(c5ccncc5)CCCCC4)CC3)cc2)c1C1CC1
